day	time	vol	price	buysell	ask	bid
1	34200.73	100	23.95	-1	24	23.96
1	34200.73	193	23.96	-1	24	23.96
1	34206.24	100	23.9	-1	23.97	23.9
1	34206.25	35	23.9	-1	23.97	23.48
1	34245.84	100	23.89	1	23.89	23.85
1	34272.73	100	23.9	1	23.9	23.87
1	34282.55	100	23.87	-1	23.92	23.87
1	34341.7	100	23.91	-1	23.98	23.91
1	34341.73	100	23.91	-1	23.98	23.9
1	34341.73	93	23.91	-1	23.98	23.9
1	34371.23	6	23.9	1	23.9	23.83
1	34447.01	100	23.95	-1	23.98	23.95
1	34577.98	200	23.96	-1	23.99	23.96
1	34655.11	1	23.92	-1	23.95	23.83
1	34655.12	99	23.87	1	23.95	23.84
1	34805.17	23	23.91	-1	23.95	23.91
1	34831.21	100	23.94	-1	23.95	23.91
1	34831.22	100	23.94	-1	23.95	23.91
1	34870.12	100	23.96	1	23.98	23.94
1	34989.17	100	23.99	1	23.99	23.96
1	34989.17	46	23.99	1	23.99	23.96
1	35035.78	100	23.97	-1	23.98	23.94
1	35035.79	100	23.97	-1	23.99	23.9
1	35060.27	100	23.95	-1	23.97	23.94
1	35095.82	100	23.94	-1	23.95	23.92
1	35095.82	186	23.94	-1	23.95	23.92
1	35095.93	100	23.94	-1	23.95	23.94
1	35099.95	29	23.92	-1	23.94	23.89
1	35099.95	71	23.91	-1	23.94	23.89
1	35220.04	100	23.9	-1	23.91	23.9
1	35220.04	100	23.9	-1	23.91	23.9
1	35220.04	55	23.9	-1	23.91	23.9
1	35220.11	100	23.9	-1	23.91	23.87
1	35220.11	45	23.9	1	23.91	23.87
1	35247.33	200	23.91	1	23.91	23.83
1	35268.67	100	23.91	-1	23.92	23.91
1	35268.67	300	23.91	-1	23.92	23.91
1	35274.24	37	23.91	1	23.91	23.84
1	35377.91	200	23.91	-1	23.92	23.91
1	35428.82	14	23.91	-1	23.94	23.9
1	35428.94	56	23.9	-1	23.97	23.9
1	35428.94	63	23.91	-1	23.97	23.9
1	35605.15	100	23.98	-1	24	23.98
1	35605.48	100	23.98	-1	23.99	23.98
1	35803.42	100	24	1	24	23.94
1	35803.42	200	24	1	24	23.94
1	35803.42	5000	24	1	24	23.94
1	35803.6	100	24.06	1	24.06	23.97
1	35803.67	100	24.08	1	24.12	23.99
1	35803.7	100	24.07	1	24.06	23.99
1	35803.7	200	24.08	1	24.06	23.99
1	35803.82	100	24.06	1	24.07	23.99
1	35804.48	100	24.07	1	24.07	24.05
1	35804.48	100	24.07	1	24.07	24.05
1	35804.84	100	24.05	-1	24.08	24.05
1	35919.02	100	24.07	1	24.08	24.06
1	35946.82	100	24.07	1	24.08	24.06
1	35994.98	200	24.07	1	24.08	24.06
1	36000.57	100	24.06	-1	24.08	24.06
1	36001.11	100	24.07	1	24.07	24.06
1	36001.11	200	24.07	1	24.07	24.06
1	36017.98	200	24.065	1	24.07	24.06
1	36031.83	16	24	-1	24.06	23.87
1	36088.98	100	23.77	-1	23.85	23.77
1	36255.14	100	23.73	1	23.74	23.67
1	36265.28	100	23.69	1	23.72	23.65
1	36566.93	100	23.75	-1	23.79	23.73
1	36623.75	100	23.72	-1	23.77	23.71
1	36654.04	13	23.76	1	23.76	23.71
1	36795.32	100	23.72	-1	23.74	23.72
1	36803.79	500	23.71	-1	23.74	23.7
1	36851.4	7	23.7	-1	23.74	23.7
1	36880.36	100	23.71	1	23.74	23.7
1	36934.14	400	23.7	-1	23.71	23.7
1	36940.83	100	23.7	-1	23.71	23.7
1	36940.83	200	23.7	-1	23.71	23.7
1	36940.83	93	23.7	-1	23.71	23.7
1	36941.05	100	23.64	-1	23.7	23.64
1	36941.06	32	23.61	-1	23.68	23.59
1	36941.07	75	23.6	-1	23.68	23.56
1	36941.08	100	23.55	-1	23.68	23.55
1	36941.08	100	23.56	-1	23.68	23.55
1	36941.09	200	23.56	-1	23.68	23.55
1	36941.1	100	23.51	-1	23.68	23.55
1	36941.1	100	23.52	-1	23.68	23.55
1	36941.1	200	23.52	-1	23.68	23.55
1	36953.67	100	23.55	1	23.56	23.52
1	36957.25	100	23.57	1	23.57	23.55
1	37155.46	3	23.52	-1	23.59	23.52
1	37532.81	2	23.6	-1	23.62	23.55
1	37532.81	98	23.55	-1	23.62	23.55
1	37537.02	2	23.53	-1	23.61	23.52
1	37537.04	400	23.52	-1	23.53	23.52
1	37588.86	100	23.53	1	23.53	23.52
1	37591.53	100	23.53	1	23.53	23.52
1	37601.35	100	23.52	-1	23.53	23.51
1	37601.35	100	23.51	-1	23.53	23.51
1	37630.34	2	23.54	1	23.59	23.51
1	37723.23	93	23.545	1	23.57	23.52
1	37759.96	1	23.56	1	23.58	23.52
1	37851.52	93	23.55	-1	23.61	23.54
1	37865.27	7	23.6	1	23.6	23.55
1	37865.27	93	23.6	1	23.6	23.55
1	37888.43	48	23.6	1	23.61	23.54
1	38207.32	100	23.61	1	23.63	23.6
1	38207.32	75	23.61	1	23.63	23.6
1	38207.32	8	23.61	1	23.63	23.6
