date	time	sign	quote	hvol	dvol
80407	34260	1	16.26	100	0
80407	34260	2	16.23	0	100
80407	34260	3	16.2	0	2200
80407	34260	4	16.15	0	300
80407	34260	5	16.08	0	3
80407	34260	6	16.05	1300	200
80407	34260	7	16.01	300	1252
80407	34260	8	16	0	181
80407	34260	9	15.96	0	500
80407	34260	10	15.95	0	1200
80407	34260	-1	16.32	800	100
80407	34260	-2	16.33	0	700
80407	34260	-3	16.34	0	100
80407	34260	-4	16.42	0	2
80407	34260	-5	16.45	0	1
80407	34260	-6	16.5	0	100
80407	34260	-7	16.59	0	500
80407	34260	-8	16.6	0	1000
80407	34260	-9	16.63	0	200
80407	34260	-10	16.68	0	412
80407	34320	1	16.29	100	0
80407	34320	2	16.25	0	700
80407	34320	3	16.24	0	100
80407	34320	4	16.2	0	2200
80407	34320	5	16.15	0	300
80407	34320	6	16.08	0	1
80407	34320	7	16.07	0	400
80407	34320	8	16.05	1300	200
80407	34320	9	16.01	0	100
80407	34320	10	16	0	181
80407	34320	-1	16.33	0	900
80407	34320	-2	16.36	0	100
80407	34320	-3	16.45	0	1
80407	34320	-4	16.47	0	1
80407	34320	-5	16.5	0	600
80407	34320	-6	16.59	0	500
80407	34320	-7	16.6	0	1500
80407	34320	-8	16.63	0	200
80407	34320	-9	16.68	0	412
80407	34320	-10	16.78	0	400
80407	34380	1	16.27	100	0
80407	34380	2	16.25	0	600
80407	34380	3	16.24	0	100
80407	34380	4	16.22	100	100
80407	34380	5	16.2	0	2650
80407	34380	6	16.15	0	300
80407	34380	7	16.12	0	400
80407	34380	8	16.07	0	400
80407	34380	9	16.05	1300	200
80407	34380	10	16.01	0	100
80407	34380	-1	16.32	100	112
80407	34380	-2	16.33	0	500
80407	34380	-3	16.36	0	100
80407	34380	-4	16.46	0	300
80407	34380	-5	16.48	0	300
80407	34380	-6	16.5	0	100
80407	34380	-7	16.56	0	300
80407	34380	-8	16.59	0	500
80407	34380	-9	16.6	0	1000
80407	34380	-10	16.63	0	200
80407	34440	1	16.27	200	0
80407	34440	2	16.26	0	100
80407	34440	3	16.25	100	600
80407	34440	4	16.21	0	100
80407	34440	5	16.2	0	2650
80407	34440	6	16.15	0	300
80407	34440	7	16.13	0	200
80407	34440	8	16.12	0	200
80407	34440	9	16.07	0	400
80407	34440	10	16.06	0	300
80407	34440	-1	16.32	0	2
80407	34440	-2	16.33	0	500
80407	34440	-3	16.38	0	100
80407	34440	-4	16.44	0	200
80407	34440	-5	16.48	0	300
80407	34440	-6	16.5	0	100
80407	34440	-7	16.54	0	200
80407	34440	-8	16.59	0	500
80407	34440	-9	16.6	0	1000
80407	34440	-10	16.63	0	200
80407	34500	1	16.29	100	0
80407	34500	2	16.27	100	200
80407	34500	3	16.26	0	100
80407	34500	4	16.25	0	600
80407	34500	5	16.2	0	2650
80407	34500	6	16.16	0	200
80407	34500	7	16.15	0	300
80407	34500	8	16.13	0	200
80407	34500	9	16.12	0	200
80407	34500	10	16.09	0	100
80407	34500	-1	16.32	0	2
80407	34500	-2	16.33	0	300
80407	34500	-3	16.38	0	100
80407	34500	-4	16.43	0	100
80407	34500	-5	16.46	0	100
80407	34500	-6	16.5	0	100
80407	34500	-7	16.51	0	100
80407	34500	-8	16.54	0	200
80407	34500	-9	16.59	0	500
80407	34500	-10	16.6	0	1000
80407	34560	1	16.3	200	300
80407	34560	2	16.26	0	100
80407	34560	3	16.25	0	500
80407	34560	4	16.2	0	2650
80407	34560	5	16.18	0	100
80407	34560	6	16.17	0	100
80407	34560	7	16.15	0	300
80407	34560	8	16.13	0	300
80407	34560	9	16.12	0	200
80407	34560	10	16.09	0	100
80407	34560	-1	16.32	0	2
80407	34560	-2	16.33	0	300
80407	34560	-3	16.38	0	100
80407	34560	-4	16.43	0	100
80407	34560	-5	16.46	0	100
80407	34560	-6	16.5	0	100
80407	34560	-7	16.51	0	100
80407	34560	-8	16.54	0	200
80407	34560	-9	16.59	0	500
80407	34560	-10	16.6	0	1000
80407	34620	1	16.3	0	200
80407	34620	2	16.29	0	100
80407	34620	3	16.26	0	100
80407	34620	4	16.25	0	500
80407	34620	5	16.2	0	2650
80407	34620	6	16.18	0	100
80407	34620	7	16.17	0	100
80407	34620	8	16.15	0	300
80407	34620	9	16.13	0	300
80407	34620	10	16.12	0	200
80407	34620	-1	16.32	0	2
80407	34620	-2	16.33	0	400
80407	34620	-3	16.34	0	100
80407	34620	-4	16.38	0	100
80407	34620	-5	16.43	0	100
80407	34620	-6	16.46	0	100
80407	34620	-7	16.5	0	100
80407	34620	-8	16.51	0	100
80407	34620	-9	16.54	0	200
80407	34620	-10	16.59	0	500
80407	34680	1	16.3	0	300
80407	34680	2	16.26	0	100
80407	34680	3	16.25	0	500
80407	34680	4	16.2	0	2750
80407	34680	5	16.18	0	100
80407	34680	6	16.17	0	100
80407	34680	7	16.15	0	300
80407	34680	8	16.13	0	300
80407	34680	9	16.12	0	200
80407	34680	10	16.09	0	100
80407	34680	-1	16.32	0	2
80407	34680	-2	16.33	0	400
80407	34680	-3	16.34	0	100
