date	time	sign	quote	hvol	dvol
80407	34260	1	20.52	3680	400
80407	34260	2	20.51	100	400
80407	34260	3	20.5	100	100
80407	34260	4	20.49	100	600
80407	34260	5	20.48	200	500
80407	34260	6	20.47	0	800
80407	34260	7	20.46	0	100
80407	34260	8	20.45	0	600
80407	34260	9	20.44	0	1500
80407	34260	10	20.43	0	100
80407	34260	-1	20.53	4000	857
80407	34260	-2	20.54	100	100
80407	34260	-3	20.55	0	401
80407	34260	-4	20.56	0	300
80407	34260	-5	20.57	0	1501
80407	34260	-6	20.59	8400	1
80407	34260	-7	20.6	0	2125
80407	34260	-8	20.61	9500	500
80407	34260	-9	20.65	0	800
80407	34260	-10	20.67	800	1100
80407	34320	1	20.4	9656	1125
80407	34320	2	20.39	100	1800
80407	34320	3	20.38	100	1000
80407	34320	4	20.37	2994	2200
80407	34320	5	20.36	0	1000
80407	34320	6	20.35	0	6200
80407	34320	7	20.34	0	4000
80407	34320	8	20.33	0	100
80407	34320	9	20.3	0	1950
80407	34320	10	20.29	0	100
80407	34320	-1	20.41	0	300
80407	34320	-2	20.42	100	700
80407	34320	-3	20.43	100	1000
80407	34320	-4	20.44	0	800
80407	34320	-5	20.45	1900	1300
80407	34320	-6	20.46	800	0
80407	34320	-7	20.47	0	100
80407	34320	-8	20.49	500	751
80407	34320	-9	20.5	0	2100
80407	34320	-10	20.51	300	1700
80407	34380	1	20.41	6800	100
80407	34380	2	20.4	100	700
80407	34380	3	20.39	2200	1600
80407	34380	4	20.38	15002	4350
80407	34380	5	20.37	102	2300
80407	34380	6	20.35	0	2100
80407	34380	7	20.34	0	5000
80407	34380	8	20.33	0	300
80407	34380	9	20.31	0	1900
80407	34380	10	20.3	0	2950
80407	34380	-1	20.42	200	951
80407	34380	-2	20.43	100	4900
80407	34380	-3	20.44	100	1300
80407	34380	-4	20.45	2100	300
80407	34380	-5	20.46	800	0
80407	34380	-6	20.47	0	100
80407	34380	-7	20.48	0	2900
80407	34380	-8	20.49	0	751
80407	34380	-9	20.5	0	3100
80407	34380	-10	20.51	0	2300
80407	34440	1	20.5	10176	2960
80407	34440	2	20.49	102	1600
80407	34440	3	20.48	0	4800
80407	34440	4	20.47	0	900
80407	34440	5	20.46	0	600
80407	34440	6	20.45	0	5500
80407	34440	7	20.44	0	1800
80407	34440	8	20.43	0	600
80407	34440	9	20.42	0	100
80407	34440	10	20.41	0	1533
80407	34440	-1	20.51	2	100
80407	34440	-2	20.52	6202	1500
80407	34440	-3	20.53	300	2400
80407	34440	-4	20.54	100	1000
80407	34440	-5	20.55	100	820
80407	34440	-6	20.57	0	1000
80407	34440	-7	20.58	0	4200
80407	34440	-8	20.59	8400	1400
80407	34440	-9	20.6	0	1700
80407	34440	-10	20.61	9500	500
80407	34500	1	20.43	502	0
80407	34500	2	20.42	30002	1800
80407	34500	3	20.41	8400	3933
80407	34500	4	20.4	0	9000
80407	34500	5	20.39	0	5000
80407	34500	6	20.38	0	600
80407	34500	7	20.35	0	2300
80407	34500	8	20.34	0	1100
80407	34500	9	20.32	2700	400
80407	34500	10	20.31	0	3200
80407	34500	-1	20.44	502	2510
80407	34500	-2	20.45	5300	1300
80407	34500	-3	20.46	200	1100
80407	34500	-4	20.47	100	2750
80407	34500	-5	20.48	200	4000
80407	34500	-6	20.49	500	4000
80407	34500	-7	20.5	500	8500
80407	34500	-8	20.51	0	100
80407	34500	-9	20.52	0	600
80407	34500	-10	20.53	0	1100
80407	34560	1	20.53	9702	300
80407	34560	2	20.52	3600	3200
80407	34560	3	20.51	100	2200
80407	34560	4	20.5	100	6100
80407	34560	5	20.49	0	1600
80407	34560	6	20.48	0	900
80407	34560	7	20.47	0	900
80407	34560	8	20.46	0	300
80407	34560	9	20.45	0	7000
80407	34560	10	20.44	3000	2700
80407	34560	-1	20.54	2	900
80407	34560	-2	20.55	402	2100
80407	34560	-3	20.56	0	1500
80407	34560	-4	20.57	3900	3100
80407	34560	-5	20.58	0	3600
80407	34560	-6	20.59	0	2100
80407	34560	-7	20.6	0	2800
80407	34560	-8	20.61	9500	4700
80407	34560	-9	20.62	0	3900
80407	34560	-10	20.63	0	1900
80407	34620	1	20.55	3804	1900
80407	34620	2	20.54	202	2000
80407	34620	3	20.53	100	2900
80407	34620	4	20.52	0	3302
80407	34620	5	20.51	0	4200
80407	34620	6	20.5	0	4500
80407	34620	7	20.49	0	900
80407	34620	8	20.48	0	100
80407	34620	9	20.46	0	200
80407	34620	10	20.45	0	5000
80407	34620	-1	20.56	2	0
80407	34620	-2	20.57	102	3800
80407	34620	-3	20.58	100	4300
80407	34620	-4	20.59	100	4000
80407	34620	-5	20.6	100	4300
80407	34620	-6	20.61	0	700
80407	34620	-7	20.62	0	5400
80407	34620	-8	20.63	0	4900
80407	34620	-9	20.64	800	100
80407	34620	-10	20.65	0	800
80407	34680	1	20.55	1104	4200
80407	34680	2	20.54	202	2900
80407	34680	3	20.53	100	3300
80407	34680	4	20.52	3600	3302
80407	34680	5	20.51	0	3800
80407	34680	6	20.5	3500	5000
80407	34680	7	20.46	0	200
80407	34680	8	20.45	0	5000
80407	34680	9	20.44	0	4000
80407	34680	10	20.42	0	5000
80407	34680	-1	20.56	2	535
80407	34680	-2	20.57	2	9200
80407	34680	-3	20.58	0	4300
80407	34680	-4	20.59	0	3000
80407	34680	-5	20.6	0	5000
80407	34680	-6	20.61	0	5400
80407	34680	-7	20.62	0	4900
80407	34680	-8	20.63	0	1000
80407	34680	-9	20.64	800	100
80407	34680	-10	20.65	0	800
80407	34740	1	20.55	12202	2250
80407	34740	2	20.54	502	2550
80407	34740	3	20.53	100	2800
80407	34740	4	20.52	3600	3502
80407	34740	5	20.51	0	4100
80407	34740	6	20.5	3500	7400
80407	34740	7	20.46	0	2900
80407	34740	8	20.45	0	6000
80407	34740	9	20.44	0	4000
80407	34740	10	20.42	0	5000
80407	34740	-1	20.56	2	1252
80407	34740	-2	20.57	502	9935
80407	34740	-3	20.58	0	3900
80407	34740	-4	20.59	0	3300
80407	34740	-5	20.6	0	5200
80407	34740	-6	20.61	0	6900
80407	34740	-7	20.62	0	5700
80407	34740	-8	20.63	0	1600
80407	34740	-9	20.64	800	100
80407	34740	-10	20.65	0	4000
80407	34800	1	20.55	2	0
80407	34800	2	20.54	102	4250
80407	34800	3	20.53	100	4050
80407	34800	4	20.52	3600	4500
80407	34800	5	20.51	100	6200
80407	34800	6	20.5	3500	5100
80407	34800	7	20.49	0	1700
80407	34800	8	20.46	0	100
80407	34800	9	20.45	0	5000
80407	34800	10	20.44	0	4000
80407	34800	-1	20.56	100	5000
80407	34800	-2	20.57	100	7400
80407	34800	-3	20.58	11700	3400
80407	34800	-4	20.59	500	3000
80407	34800	-5	20.6	4900	5100
80407	34800	-6	20.61	0	3000
80407	34800	-7	20.62	0	3600
80407	34800	-8	20.63	0	4900
80407	34800	-9	20.64	800	4100
80407	34800	-10	20.65	0	1300
80407	34860	1	20.56	33610	6481
80407	34860	2	20.55	102	5300
80407	34860	3	20.54	100	6300
80407	34860	4	20.53	8	4600
80407	34860	5	20.52	3500	3500
80407	34860	6	20.51	0	2200
80407	34860	7	20.5	3500	3500
80407	34860	8	20.49	0	500
80407	34860	9	20.47	0	3300
80407	34860	10	20.46	0	300
80407	34860	-1	20.57	2348	500
80407	34860	-2	20.58	502	4700
80407	34860	-3	20.59	500	4000
80407	34860	-4	20.6	100	5700
80407	34860	-5	20.61	0	3700
80407	34860	-6	20.62	0	8400
80407	34860	-7	20.63	0	2000
80407	34860	-8	20.64	800	2200
80407	34860	-9	20.65	0	900
80407	34860	-10	20.66	9500	2000
80407	34920	1	20.62	1504	800
80407	34920	2	20.61	502	4300
80407	34920	3	20.6	15600	7700
80407	34920	4	20.59	100	4600
80407	34920	5	20.58	0	5100
80407	34920	6	20.57	0	2800
80407	34920	7	20.56	0	2500
80407	34920	8	20.55	0	200
80407	34920	9	20.53	0	200
80407	34920	10	20.52	3500	500
80407	34920	-1	20.63	5502	8700
80407	34920	-2	20.64	302	5700
80407	34920	-3	20.65	100	5300
80407	34920	-4	20.66	4600	4000
80407	34920	-5	20.67	800	2600
80407	34920	-6	20.68	0	7480
80407	34920	-7	20.69	0	4900
80407	34920	-8	20.7	0	3690
80407	34920	-9	20.72	800	100
80407	34920	-10	20.73	0	1000
80407	34980	1	20.61	2	0
80407	34980	2	20.6	13802	6758
80407	34980	3	20.59	374	6300
80407	34980	4	20.58	100	8200
80407	34980	5	20.57	0	3400
80407	34980	6	20.56	0	6800
80407	34980	7	20.55	0	3400
80407	34980	8	20.54	0	1800
80407	34980	9	20.53	0	200
80407	34980	10	20.52	3500	1100
80407	34980	-1	20.62	402	4702
80407	34980	-2	20.63	102	4400
80407	34980	-3	20.64	100	3702
80407	34980	-4	20.65	100	5900
80407	34980	-5	20.66	4500	5200
80407	34980	-6	20.67	800	7100
80407	34980	-7	20.68	0	2480
80407	34980	-8	20.69	0	1000
80407	34980	-9	20.7	0	3590
80407	34980	-10	20.71	0	1800
80407	35040	1	20.61	1502	4798
80407	35040	2	20.6	9792	8100
80407	35040	3	20.59	100	4200
80407	35040	4	20.58	100	7600
80407	35040	5	20.57	0	6300
80407	35040	6	20.56	0	2700
80407	35040	7	20.55	2500	4500
80407	35040	8	20.53	0	200
80407	35040	9	20.52	3500	1100
80407	35040	10	20.5	3500	3000
80407	35040	-1	20.62	478	5102
80407	35040	-2	20.63	378	4100
80407	35040	-3	20.64	100	4602
80407	35040	-4	20.65	100	5900
80407	35040	-5	20.66	4500	5400
80407	35040	-6	20.67	800	2600
80407	35040	-7	20.68	0	2080
80407	35040	-8	20.69	0	4100
80407	35040	-9	20.7	0	5390
80407	35040	-10	20.72	800	100
80407	35100	1	20.59	6500	0
80407	35100	2	20.58	102	3900
80407	35100	3	20.57	100	4300
80407	35100	4	20.56	100	4800
80407	35100	5	20.55	2600	9100
80407	35100	6	20.54	0	2500
80407	35100	7	20.53	0	4400
80407	35100	8	20.52	3500	1100
80407	35100	9	20.5	12500	13300
80407	35100	10	20.49	0	500
80407	35100	-1	20.6	678	6650
80407	35100	-2	20.61	378	4900
80407	35100	-3	20.62	88	7235
80407	35100	-4	20.63	100	3700
80407	35100	-5	20.64	0	4505
80407	35100	-6	20.65	0	8800
80407	35100	-7	20.66	4500	5900
80407	35100	-8	20.67	800	1400
80407	35100	-9	20.68	0	880
80407	35100	-10	20.69	0	200
80407	35160	1	20.62	500	9647
80407	35160	2	20.61	502	6063
80407	35160	3	20.6	4427	7300
80407	35160	4	20.59	100	8400
80407	35160	5	20.58	0	3300
80407	35160	6	20.57	0	2600
80407	35160	7	20.56	0	1100
80407	35160	8	20.55	2500	2500
80407	35160	9	20.54	0	400
80407	35160	10	20.53	0	2300
80407	35160	-1	20.63	200	4800
80407	35160	-2	20.64	102	5605
80407	35160	-3	20.65	100	7450
80407	35160	-4	20.66	4600	4300
80407	35160	-5	20.67	800	5200
80407	35160	-6	20.68	0	5080
80407	35160	-7	20.69	0	1800
80407	35160	-8	20.7	0	3440
80407	35160	-9	20.71	0	4500
80407	35160	-10	20.72	9800	10800
80407	35220	1	20.64	15641	3000
80407	35220	2	20.63	102	5000
