day	time	bid	ask
1	32957.48	15.94	17.1
1	33186.463	16.05	17.1
1	33900.93	16.05	17.09
1	33901.26	16.06	17.09
1	33960.083	16.06	17.09
1	33960.313	16.05	17.09
1	33961.263	16.05	17.07
1	33963.4	16.06	17.07
1	33963.403	16.06	17.07
1	33963.49	16.06	17.1
1	33964.083	16.06	17.08
1	34088.12	16.06	17.06
1	34090.077	16.06	17.06
1	34090.08	16.06	17.1
1	34090.37	16.05	17.1
1	34091.137	16.06	17.1
1	34092.38	16.05	17.03
1	34092.38	16.06	17.03
1	34093.45	16.05	17.01
1	34094.357	16.05	17.01
1	34094.357	16.06	17.01
1	34095.1	16.06	17.01
1	34096.16	16.06	16.99
1	34096.16	16.05	16.99
1	34097.273	16.05	16.99
1	34097.273	16.05	17.1
1	34097.273	16.06	16.99
1	34098.367	16.06	17.1
1	34099.27	16.05	17.1
1	34101.17	16.05	17.08
1	34101.3	16.05	17.1
1	34103.18	16.05	17.1
1	34103.18	16.06	17.1
1	34105.02	16.06	17.1
1	34107.24	16.06	17.08
1	34108.44	16.06	17.1
1	34110.25	16.06	17.09
1	34110.323	16.06	17.1
1	34110.553	16.05	17.1
1	34112.647	16.06	17.1
1	34114.073	16.06	17.01
1	34117.493	16.05	17.01
1	34119.083	16.05	17.1
1	34119.083	16.05	16.99
1	34121.24	16.05	17.09
1	34121.38	16.05	17.1
1	34123.527	16.06	17.1
1	34126.247	16.06	17.09
1	34130.307	16.06	17.1
1	34133.233	16.06	16.93
1	34138.287	16.05	16.93
1	34138.29	16.05	17.1
1	34141.133	16.06	17.1
1	34144.367	16.06	16.94
1	34149.343	16.05	16.94
1	34149.35	16.05	17.1
1	34152.133	16.06	17.1
1	34155.35	16.06	17.09
1	34160.143	16.05	17.1
1	34160.143	16.05	17.09
1	34163.187	16.06	17.1
1	34166.353	16.06	16.94
1	34170.177	16.06	16.93
1	34170.29	16.05	16.93
1	34170.297	16.05	17.09
1	34173.17	16.05	17.07
1	34173.177	16.05	17.09
1	34173.18	16.05	17.07
1	34173.21	16.06	17.07
1	34174.003	16.06	17.09
1	34176.22	16.06	17.06
1	34176.22	16.06	17.07
1	34180.22	16.06	17.09
1	34181.107	16.06	17.08
1	34181.107	16.06	17.06
1	34181.88	16.06	17.09
1	34181.933	16.05	17.09
1	34185.187	16.06	17.09
1	34189.17	16.06	16.9
1	34189.17	16.06	16.91
1	34189.17	16.06	17.04
1	34189.19	16.06	16.91
1	34189.22	16.05	17.09
1	34189.22	16.05	16.91
1	34193.13	16.05	17.07
1	34194.157	16.05	17.09
1	34197.33	16.05	17.06
1	34197.33	16.05	17.07
1	34200.227	16.05	16.77
1	34200.233	16.05	16.77
1	34200.237	16.05	16.77
1	34200.25	16.05	16.77
1	34200.777	16.29	16.77
1	34200.777	16.29	16.77
1	34201.4	16.29	16.76
1	34204.47	16.3	16.76
1	34205.14	16.3	16.73
1	34205.243	16.29	16.73
1	34205.82	16.3	16.73
1	34205.993	16.3	16.7
1	34206.243	16.29	16.71
1	34206.243	16.29	16.7
1	34206.247	16.3	16.71
1	34206.487	16.29	16.71
1	34206.507	16.29	16.76
1	34206.78	16.29	16.75
1	34206.783	16.29	16.74
1	34206.973	16.29	16.72
1	34207.377	16.3	16.72
1	34207.48	16.3	16.71
1	34207.483	16.3	16.7
1	34207.673	16.29	16.7
1	34207.687	16.29	16.71
1	34207.69	16.3	16.71
1	34207.837	16.3	16.77
1	34207.84	16.29	16.75
1	34207.84	16.29	16.77
1	34207.917	16.29	16.76
1	34208.05	16.29	16.75
1	34208.053	16.29	16.74
1	34208.237	16.29	16.73
1	34208.24	16.29	16.72
1	34208.59	16.3	16.72
1	34208.75	16.3	16.71
1	34208.753	16.3	16.7
1	34208.757	16.3	16.71
1	34208.76	16.3	16.7
1	34208.867	16.3	16.71
1	34208.87	16.3	16.71
1	34208.87	16.29	16.71
1	34208.983	16.29	16.71
1	34208.987	16.29	16.76
1	34208.987	16.29	16.77
1	34209.19	16.29	16.75
1	34209.193	16.29	16.74
1	34209.32	16.29	16.72
1	34209.517	16.3	16.73
1	34209.517	16.29	16.73
1	34209.527	16.3	16.71
1	34209.72	16.29	16.71
1	34209.747	16.29	16.76
1	34209.857	16.29	16.75
1	34209.86	16.29	16.74
1	34209.95	16.29	16.72
1	34210.21	16.3	16.72
1	34210.233	16.3	16.73
1	34210.243	16.3	16.75
1	34210.303	16.3	16.76
1	34210.51	16.3	16.74
1	34210.51	16.3	16.75
1	34210.71	16.3	16.73
1	34210.713	16.3	16.72
1	34211.133	16.3	16.76
1	34211.183	16.3	16.7
1	34211.197	16.3	16.71
1	34211.23	16.3	16.71
1	34211.38	16.29	16.7
1	34211.38	16.29	16.71
1	34211.393	16.31	16.7
1	34211.513	16.31	16.69
1	34211.517	16.32	16.69
1	34211.6	16.31	16.69
1	34211.613	16.3	16.69
1	34211.74	16.29	16.77
1	34211.74	16.3	16.77
1	34211.743	16.29	16.76
1	34211.883	16.29	16.75
1	34211.897	16.29	16.75
1	34211.927	16.29	16.74
1	34211.973	16.29	16.73
1	34211.977	16.29	16.72
1	34212.23	16.29	16.76
1	34212.503	16.29	16.74
1	34212.507	16.29	16.73
1	34212.583	16.29	16.71
1	34212.6	16.3	16.71
1	34212.7	16.3	16.77
1	34212.703	16.29	16.77
1	34212.703	16.29	16.76
1	34212.82	16.29	16.74
1	34212.857	16.29	16.71
1	34212.86	16.29	16.74
1	34212.863	16.29	16.75
1	34212.867	16.3	16.75
1	34212.87	16.29	16.74
1	34212.87	16.29	16.75
1	34212.877	16.29	16.73
1	34212.88	16.29	16.72
1	34213.117	16.29	16.76
1	34213.12	16.3	16.76
1	34213.18	16.3	16.75
1	34213.18	16.3	16.74
1	34213.303	16.3	16.72
1	34213.31	16.3	16.71
1	34213.357	16.29	16.71
1	34213.637	16.29	16.77
1	34213.64	16.3	16.77
1	34213.687	16.3	16.69
1	34216.603	16.29	16.69
1	34216.667	16.29	16.76
